"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7SGD5CEI","journalArticle","2025","GONÇALVES, JORGE ANDRÉ DE OLIVEIRA","CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation","","","","","https://recipp.ipp.pt/entities/publication/781bf760-b7a2-40e3-bead-046367e036c5","","2025","2026-06-08 06:45:06","2026-06-08 06:45:06","2026-06-08 06:45:06","","","","","","","CodeAssert","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85WK68WK","journalArticle","2024","Ryan, Gabriel; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna; Ray, Baishakhi","Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM","Proceedings of the ACM on Software Engineering","","2994-970X","10.1145/3643769","https://dl.acm.org/doi/10.1145/3643769","Testing plays a pivotal role in ensuring software quality, yet conventional Search Based Software Testing (SBST) methods often struggle with complex software units, achieving suboptimal test coverage. Recent work using large language models (LLMs) for test generation have focused on improving generation quality through optimizing the test generation context and correcting errors in model outputs, but use fixed prompting strategies that prompt the model to generate tests without additional guidance. As a result LLM-generated testsuites still suffer from low coverage.             In this paper, we present SymPrompt, a code-aware prompting strategy for LLMs in test generation. SymPrompt’s approach is based on recent work that demonstrates LLMs can solve more complex logical problems when prompted to reason about the problem in a multi-step fashion. We apply this methodology to test generation by deconstructing the testsuite generation process into a multi-stage sequence, each of which is driven by a specific prompt aligned with the execution paths of the method under test, and exposing relevant type and dependency focal context to the model. Our approach enables pretrained LLMs to generate more complete test cases without any additional training. We implement SymPrompt using the TreeSitter parsing framework and evaluate on a benchmark challenging methods from open source Python projects. SymPrompt enhances correct test generations by a factor of 5 and bolsters relative coverage by 26% for CodeGen2. Notably, when applied to GPT-4, SymPrompt improves coverage by over 2× compared to baseline prompting strategies.","2024-07-12","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:12","951-971","","FSE","1","","Proc. ACM Softw. Eng.","Code-Aware Prompting","","","","","","","en","https://www.acm.org/publications/policies/copyright_policy#Background","","","","Semantic Scholar","","","[TLDR] SymPrompt is presented, a code-aware prompting strategy for LLMs in test generation that enables pretrained LLMs to generate more complete test cases without any additional training and enhances correct test generations by a factor of 5 and bolsters relative Coverage for CodeGen2.","","https://www.semanticscholar.org/paper/Code-Aware-Prompting%3A-A-Study-of-Coverage-Guided-in-Ryan-Jain/46db418ac45d17f4381b26daab73e8e3e0728d99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PARBAQEA","conferencePaper","2025","Guerino, Lucca Renato; Vincenzi, Auri Marcelo Rizzo","Exploring ChatGPT Efficiency in Automatic Test Generation for Python: A Comparative Analysis","Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025)","","","10.5753/sbqs.2025.14558","https://sol.sbc.org.br/index.php/sbqs/article/view/38998","Context: Large language models (LLMs) like ChatGPT have gained attention in automated software testing. This study evaluates ChatGPT-3.5-turbo’s ability to generate test sets for Python programs, comparing it with Pynguin and pre-existing test sets. Problem: Automated testing remains challenging for dynamically typed languages like Python, requiring adaptable tools for diverse code structures. Solution: We assessed ChatGPT-3.5-turbo’s test generation using different prompt configurations and temperature settings. Method: Using 40 Python programs, we generated Pytestcompliant tests via the OpenAI API, varying temperature settings (0.0 to 1.0). Tests were validated using Pytest, with coverage and mutation scores measured via Coverage, MutPy, and Cosmic-Ray. Pynguin-generated and pre-existing test sets served as baselines. Summary of Results: ChatGPT-3.5-turbo successfully generated valid tests for simpler programs, but averaged below 28% overall, with a low cost. Higher temperatures (0.5–1.0) improved results, but combining test cases from all temperatures introduces diversity in the LLM-generated test sets, making it possible to overcome both Pynguin and pre-existing test sets in terms of decision coverage and mutation score.","2025-11-04","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:13","88-98","","","","","","Exploring ChatGPT Efficiency in Automatic Test Generation for Python","","","","","Sociedade Brasileira de Computação - SBC","Brasil","","","","","","Semantic Scholar","","","[TLDR] This study evaluates ChatGPT-3.5-turbo’s ability to generate test sets for Python programs, comparing it with Pynguin and pre-existing test sets, and finds it possible to overcome both Pynguin and pre-existing test sets in terms of decision coverage and mutation score.","C:\Users\nguye\Zotero\storage\TK8V6KBK\Guerino and Vincenzi - 2025 - Exploring ChatGPT Efficiency in Automatic Test Generation for Python A Comparative Analysis.pdf; ","https://www.semanticscholar.org/paper/Exploring-ChatGPT-Efficiency-in-Automatic-Test-for-Guerino-Vincenzi/a174003d49ad25fc1e4fc36c4e3fd79fee0d6d05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simpósio Brasileiro de Qualidade de Software","","","","","","","","","","","","","","",""
"C6LAX4ZL","journalArticle","2024","Liu, Xiang-Jun; Yu, Ping; Ma, Xiao-Xing","An Empirical Study on Automated Test Generation Tools for Java: Effectiveness and Challenges","Journal of Computer Science and Technology","","1000-9000, 1860-4749","10.1007/s11390-023-1935-5","https://link.springer.com/10.1007/s11390-023-1935-5","Automated test generation tools enable test automation and further alleviate the low efficiency caused by writing hand-crafted test cases. However, existing automated tools are not mature enough to be widely used by software testing groups. This paper conducts an empirical study on the state-of-the-art automated tools for Java, i.e., EvoSuite, Randoop, JDoop, JTeXpert, T3, and Tardis. We design a test workflow to facilitate the process, which can automatically run tools for test generation, collect data, and evaluate various metrics. Furthermore, we conduct empirical analysis on these six tools and their related techniques from different aspects, i.e., code coverage, mutation score, test suite size, readability, and real fault detection ability. We discuss about the benefits and drawbacks of hybrid techniques based on experimental results. Besides, we introduce our experience in setting up and executing these tools, and summarize their usability and user-friendliness. Finally, we give some insights into automated tools in terms of test suite readability improvement, meaningful assertion generation, test suite reduction for random testing tools, and symbolic execution integration.","2024-05","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:14","715-736","","3","39","","J. Comput. Sci. Technol.","An Empirical Study on Automated Test Generation Tools for Java","","","","","","","en","","","","","Semantic Scholar","","","[TLDR] An empirical study on the state-of-the-art automated tools for Java, i.e., EvoSuite, Randoop, JDoop, JTeXpert, T3, and Tardis, which designs a test workflow to facilitate the process, and gives some insights into automated tools in terms of test suite readability improvement, meaningful assertion generation, test suite reduction for random testing tools, and symbolic execution integration.","","https://www.semanticscholar.org/paper/An-Empirical-Study-on-Automated-Test-Generation-for-Liu-Yu/435ca5c110d9dc41a28a9d9d576aea3a2a2bf0a6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXU86Z69","journalArticle","2026","Taherkhani, Hamed; DaghighFarsoodeh, Alireza; Chowdhury, Mohammad; Pham, Hung Viet; Hemmati, Hadi","Consistency Meets Verification: Enhancing Test Generation Quality in Large Language Models Without Ground-Truth Solutions","","","","10.48550/ARXIV.2602.10522","https://arxiv.org/abs/2602.10522","Large Language Models (LLMs) have significantly advanced automated test generation, yet existing methods often rely on ground-truth code for verification, risking bug propagation and limiting applicability in test-driven development. We present ConVerTest, a novel two-stage pipeline for synthesizing reliable tests without requiring prior code implementations. ConVerTest integrates three core strategies: (i) Self-Consistency(SC) to generate convergent test cases via majority voting; (ii) Chain-of-Verification (CoVe) for iterative, reasoning-guided code refinement; and (iii) a Dual Execution Agreement to crossvalidate code and tests through consensus. Experiments on BIGCODEBENCH and LESS BASIC PYTHON PROBLEMS (LBPP) benchmarks demonstrate that ConVerTest improves test validity, line coverage, and mutation scores by up to 39%, 28%, and 18% respectively over baselines. Our findings highlight ConVerTest as a robust solution for mitigating hallucinations and enhancing the reliability of autonomous software testing agents.","2026","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:15","","","","","","","Consistency Meets Verification","","","","","arXiv","","","Creative Commons Attribution Share Alike 4.0 International","","","","Semantic Scholar","","Version Number: 1","[TLDR] ConVerTest is presented, a novel two-stage pipeline for synthesizing reliable tests without requiring prior code implementations, and its findings highlight ConVerTest as a robust solution for mitigating hallucinations and enhancing the reliability of autonomous software testing agents.","C:\Users\nguye\Zotero\storage\4CA6H2KB\Taherkhani et al. - 2026 - Consistency Meets Verification Enhancing Test Generation Quality in Large Language Models Without G.pdf; ","https://www.semanticscholar.org/paper/Consistency-Meets-Verification%3A-Enhancing-Test-in-Taherkhani-Daghighfarsoodeh/a0f7cdae2610a25069c71b1154c5e7f2c1f36a19","","FOS: Computer and information sciences; Software Engineering (cs.SE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZG9PUX3","conferencePaper","2025","Cabral, Pedro Fernando Marinho; Arruda, João Pedro Souza; Souza, Cleidson Ronald Botelho De; Pinto, Victor Hugo Santiago Costa","Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek","Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025)","","","10.5753/sbqs.2025.13792","https://sol.sbc.org.br/index.php/sbqs/article/view/39001","Recent advances in Large Language Models (LLMs) have driven significant progress in automating software testing, particularly in generating unit tests. However, the effectiveness of these models in detecting real defects through mutation testing remains underexplored in the literature. This study aims to address this gap by evaluating the performance of ChatGPT (GPT-4o) and DeepSeek V3 in generating unit tests for six Java classes from the Defects4J dataset, covering different levels of cyclomatic complexity. The main objective is to investigate the ability of LLMs to maximize mutant coverage and elimination, while also analyzing the impact of code complexity and semantic factors related to execution failures. The methodology involved generating tests via structured prompts, executing them 5 times per class for both models, and performing quantitative analysis based on Mutation Coverage (MC) and Mutation Score (MS), as well as qualitative analysis of runtime failures. Results indicate that DeepSeek exhibits greater stability and effectiveness in eliminating mutants, whereas ChatGPT demonstrates broader applicability by producing valid test suites for a wider range of classes. Moreover, no significant correlation was found between cyclomatic complexity and compilation success, with failures primarily linked to semantic limitations of the models. This study presents both quantitative and qualitative evidence on the application of LLMs for automated test generation, offering insights for future AI-driven test engineering strategies.","2025-11-04","2026-06-08 06:46:21","2026-06-08 06:47:36","2026-06-08 06:46:16","120-130","","","","","","Evaluating LLM-Generated Unit Tests with Mutation Testing","","","","","Sociedade Brasileira de Computação - SBC","Brasil","","","","","","Semantic Scholar","","","[TLDR] Evaluating the performance of ChatGPT and DeepSeek in generating unit tests for six Java classes from the Defects4J dataset indicates that DeepSeek exhibits greater stability and effectiveness in eliminating mutants, whereas ChatGPT demonstrates broader applicability by producing valid test suites for a wider range of classes.","C:\Users\nguye\Zotero\storage\3XHSBXKW\Cabral et al. - 2025 - Evaluating LLM-Generated Unit Tests with Mutation Testing ChatGPT vs DeepSeek.pdf; ","https://www.semanticscholar.org/paper/Evaluating-LLM-Generated-Unit-Tests-with-Mutation-Cabral-Arruda/18f0f4353b015a2f913d1bc1c9ed602fc530ee1e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simpósio Brasileiro de Qualidade de Software","","","","","","","","","","","","","","",""
"RTEQPC38","journalArticle","2025","Sherifi, Betim; Slhoub, Khaled; Nembhard, Fitzroy","The Potential of LLMs in Automating Software Testing: From Generation to Reporting","","","","10.48550/ARXIV.2501.00217","https://arxiv.org/abs/2501.00217","Having a high quality software is essential in software engineering, which requires robust validation and verification processes during testing activities. Manual testing, while effective, can be time consuming and costly, leading to an increased demand for automated methods. Recent advancements in Large Language Models (LLMs) have significantly influenced software engineering, particularly in areas like requirements analysis, test automation, and debugging. This paper explores an agent-oriented approach to automated software testing, using LLMs to reduce human intervention and enhance testing efficiency. The proposed framework integrates LLMs to generate unit tests, visualize call graphs, and automate test execution and reporting. Evaluations across multiple applications in Python and Java demonstrate the system's high test coverage and efficient operation. This research underscores the potential of LLM-powered agents to streamline software testing workflows while addressing challenges in scalability and accuracy.","2025","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:17","","","","","","","The Potential of LLMs in Automating Software Testing","","","","","arXiv","","","Creative Commons Attribution 4.0 International","","","","Semantic Scholar","","Version Number: 1","<h2>Other</h2> 6 pages, 3 figures, 1 table","C:\Users\nguye\Zotero\storage\9JLC89XV\Sherifi et al. - 2025 - The Potential of LLMs in Automating Software Testing From Generation to Reporting.pdf; ","https://www.semanticscholar.org/paper/The-Potential-of-LLMs-in-Automating-Software-From-Sherifi-Slhoub/94d2b0436258811dd37b90e688d063169b8ccc76","","Artificial Intelligence (cs.AI); FOS: Computer and information sciences; Software Engineering (cs.SE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRHNBVTM","journalArticle","2021","Khamprapai, Wanida; Tsai, Cheng-Fa; Wang, Paohsi; Tsai, Chi-En","Multiple-Searching Genetic Algorithm for Whole Test Suites","Electronics","","2079-9292","10.3390/electronics10162011","https://www.mdpi.com/2079-9292/10/16/2011","A test suite is a set of test cases that evaluate the quality of software. The aim of whole test suite generation is to create test cases with the highest coverage scores possible. This study investigated the efficiency of a multiple-searching genetic algorithm (MSGA) for whole test suite generation. In previous works, the MSGA has been effectively used in multicast routing of a network system and in the generation of test cases on individual coverage criteria for small- to medium-sized programs. The performance of the algorithms varies depending on the problem instances. In this experiment were generated whole test suites for complex programs. The MSGA was expanded in the EvoSuite test generation tool and compared with the available algorithms on EvoSuite in terms of the number of test cases, the number of statements, mutation score, and coverage score. All algorithms were evaluated on 14 problem instances with different corpus to satisfy multiple coverage criteria. The problem instances were Java open-source projects. Findings demonstrate that the MSGA generated test cases reached greater coverage scores and detected a larger number of faults in the test class when compared with the others.","2021-08-19","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:18","2011","","16","10","","Electronics","","","","","","","","en","","","","","Semantic Scholar","","","[TLDR] This study investigated the efficiency of a multiple-searching genetic algorithm (MSGA) for whole test suite generation and found that the MSGA generated test cases reached greater coverage scores and detected a larger number of faults in the test class when compared with the others.","C:\Users\nguye\Zotero\storage\H2XFEZHN\Khamprapai et al. - 2021 - Multiple-Searching Genetic Algorithm for Whole Test Suites.pdf; ","https://www.semanticscholar.org/paper/Multiple-Searching-Genetic-Algorithm-for-Whole-Test-Khamprapai-Tsai/0418829aa773b9bd261ca6022bc03783b1a27ff5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKVU7KH5","journalArticle","2020","Chekam, Thierry Titcheu; Papadakis, Mike; Traon, Yves Le","Muteria: An Extensible and Flexible Multi-Criteria Software Testing Framework","Proceedings of the IEEE/ACM 1st International Conference on Automation of Software Test","","","10.1145/3387903.3389316","https://dl.acm.org/doi/10.1145/3387903.3389316","Program based test adequacy criteria (TAC), such as statement, branch coverage and mutation give objectives for software testing. Many techniques and tools have been developed to improve each phase of the TAC-based software testing process. Nonetheless, The engineering effort required to integrate these tools and techniques into the software testing process limits their use and creates an overhead to the users. Especially for system testing with languages like C, where test cases are not always well structured in a framework.In response to these challenges, this paper presents Muteria, a TAC-based software testing framework. Muteria enables the integration of multiple software testing tools.Muteria abstracts each phase of the TAC-based software testing process to provide tool drivers interfaces for the implementation of tool drivers. Tool drivers enable Muteria to call the corresponding tools during the testing process. An initial set of drivers for KLEE, Shadow and SEMu test-generation tools, Gcov, and coverage.py code coverage tools, and Mart mutant generation tool for C and Python programming language were implemented with an average of 345 lines of Python code. Moreover, the user configuration file required to measure code coverage and mutation score on a sample C programs, using the Muteria framework, consists of less than 15 configuration variables.Users of the Muteria framework select, in a configuration file, the tools and TACs to measure. The Muteria framework uses the user configuration to run the testing process and report the outcome. Users interact with Muteria through its Application Programming Interface and Command Line Interface. Muteria can benefit to researchers as a laboratory to execute experiments, and to software practitioners.","2020-10-07","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:19","97-100","","","","","","Muteria","","","","","ACM","Seoul Republic of Korea","en","","","","","Semantic Scholar","","Conference Name: AST '20: IEEE/ACM 15nd International Conference on Automation of Software Test ISBN: 9781450379571","[TLDR] Muteria abstracts each phase of the TAC-based software testing process to provide tool drivers interfaces for the implementation of tool drivers, and enables the integration of multiple software testing tools.","","https://www.semanticscholar.org/paper/Muteria%3A-An-Extensible-and-Flexible-Multi-Criteria-Chekam-Papadakis/04b9df4151c7282dbd78250039294e201c59087f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PSCV4BZ","journalArticle","2026","Vijayamahantesh; A, Ashwitha; E, Naresh; Pareek, Piyush Kumar","TestAgentX: Leveraging Large Language Models and Reinforcement Learning for Scalable and Adaptive Software Testing","2026 International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond (NQComp)","","","10.1109/NQComp68334.2026.11497649","https://ieeexplore.ieee.org/document/11497649/","The goal of resilient software testing is to guarantee that software systems continue to work as intended in the face of failure, changes in their environment, or unexpected inputs. Software resilience under stress is evaluated using methods like adaptive test techniques, mutation testing, and chaos engineering to improve dependability in hostile or ever-changing environments. Automating and improving software quality assurance is the goal of this paper's agentic testing system, which makes use of artificial intelligence agents. To create context aware test cases, assess the effectiveness of patches, and discover regressions in real-time, the proposed approach blends reinforcement learning, fuzzy logic, knowledge graph reasoning, and large language models (LLMs). Agentic architecture allows for human-in-the-loop review for continual improvement and dynamically adapts to changing codebases, unlike conventional static testing techniques. To run a plethora of tests on the Defects4J dataset, which contains 835 actual Java errors. When contrasted with EvoSuite, the framework's results showed an 89% test coverage, an 84% mutation score, and a 55% reduction in test generation time. It also showed an 86% regression detection rate, a 91% accuracy rate for patch verification, and a very low false positive rate of only 8%. By a wide margin, fuzzy validation outperformed conventional methods, with an 82% developer acceptance rate and a contextual relevance score of 0.88. Notably, scores surpassing 75% were achieved in the areas of cross-project generalization, noisy tolerance, and idea drift adaptability. Positioned as a next generation solution for continuous integration pipelines in modern software engineering environments, the results underscore the framework's ability to deliver robust, explainable, and scalable testing automation.","2026-03-05","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:20","599-604","","","","","","TestAgentX","","","","","IEEE","Bangalore, India","","https://doi.org/10.15223/policy-029","","","","Semantic Scholar","","Conference Name: 2026 International Conference on Next-Gen Quantum and Advanced Computing: Algorithms, Security, and Beyond (NQComp) ISBN: 9798331559359","[TLDR] Positioned as a next generation solution for continuous integration pipelines in modern software engineering environments, the results underscore the agentic testing system's ability to deliver robust, explainable, and scalable testing automation.","","https://www.semanticscholar.org/paper/TestAgentX%3A-Leveraging-Large-Language-Models-and-Vijayamahantesh-A./87b230d57df0f9845adf2cef6dcf2e03b42bd1b0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQ364P5L","journalArticle","2021","Aghamohammadi, Alireza; Mirian-Hosseinabadi, Seyed-Hassan; Jalali, Sajad","Statement frequency coverage: A code coverage criterion for assessing test suite effectiveness","Information and Software Technology","","09505849","10.1016/j.infsof.2020.106426","https://linkinghub.elsevier.com/retrieve/pii/S0950584920301841","Abstract Context: Software testing is a pivotal activity in the development of high-quality software. As software is evolving through its life cycle, the need for a fault-revealing criterion assessing the effectiveness of the test suite grows. Over the years, researchers have proposed coverage-based criteria, including statement and branch coverage, to solve this issue. In literature, the effectiveness of such criteria is attested in terms of their correlations with the mutation score. Objective: In this paper, we aim at proposing a coverage-based criterion named statement frequency coverage, which outperforms statement and branch coverage in terms of correlation with mutation score. Method: To this end, we incorporated the frequency of executed statements into statement coverage and created a coverage-based criterion for assessing test suite effectiveness. Statement frequency coverage assigns a continuous value to a statement whose value is proportional to the number of times executed during test execution. We evaluated our approach on 22 real-world Python projects with more than 118 000 source lines of code (without blank lines, comments, and test cases) and 21 000 test cases through measuring the correlation between statement frequency coverage and corresponding mutation score. Results: The results show that statement frequency coverage outperforms statement and branch coverage criteria. The correlation between it and the corresponding mutation score is higher than the correlation of statement and branch coverage with their mutation score. The results also show that unlike statement and branch coverage, there is no statistical difference between statement frequency coverage and mutation score. Conclusion: Statement frequency coverage is a better choice compared to statement and branch coverage in assessing test suite effectiveness in the real-world setting. Furthermore, we demonstrate that although statement frequency coverage subsumes statement coverage, it is incomparable to branch coverage under the adequate test suite condition.","2021-01","2026-06-08 06:46:21","2026-06-08 06:46:21","2026-06-08 06:46:21","106426","","","129","","Information and Software Technology","Statement frequency coverage","","","","","","","en","","","","","Semantic Scholar","","","[TLDR] This paper incorporated the frequency of executed statements into statement coverage and created a coverage-based criterion for assessing test suite effectiveness named statement frequency coverage, which outperforms statement and branch coverage in terms of correlation with mutation score.","","https://www.semanticscholar.org/paper/Statement-frequency-coverage%3A-A-code-coverage-for-Aghamohammadi-Mirian-Hosseinabadi/27c159d87fb896bb9efceb0992c49c60b9f53923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKDA4AZL","journalArticle","2026","Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.","A Comprehensive Study on Large Language Models for Mutation Testing","ACM Transactions on Software Engineering and Methodology","","1049-331X, 1557-7392","10.1145/3805038","https://dl.acm.org/doi/10.1145/3805038","Large Language Models (LLMs) have recently been used to generate mutants both in the research community and in industrial practice. However, there has been no comprehensive empirical study of their performance for this increasingly important LLM-based Software Engineering application. To address this, we conduct a comprehensive empirical study evaluating both a wide range of traditional approaches and LLM-based approaches. Particularly, we evaluate BugFarm, LLMorpheus, and our newly designed prompt for mutant generation. The experiments cover both leading open- and closed-source LLMs, on 851 real bugs from two Java real-world bug benchmarks. Our results reveal that, compared to existing traditional approaches, LLMs generate more diverse mutants that are behaviorally closer to real bugs and, most importantly, achieve a 1.8                                \(\times\)                              improvement in real bug detection, defined as the proportion of real bugs whose faulty behaviors can be mimicked by at least one generated mutant. Specifically, LLM-based approaches reach a detection rate of 77.4%, compared to 41.6% for rule-based techniques, representing an absolute gain of 35.8 percentage points. Nevertheless, our results also reveal that these impressive improvements in effectiveness come at a cost: LLM-generated mutants exhibit worse non-compilability, duplication, and equivalent mutant rates than rule-based approaches by 25.9, 7.1, and 2.6 percentage points, respectively. These findings provide actionable insights for both research and practice. They allow practitioners to have greater confidence in deploying LLM-based mutation, while researchers now have a baseline for the state-of-the-art, with which they can research techniques to further improve effectiveness and reduce cost.","2026-03-28","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:03","3805038","","","","","ACM Trans. Softw. Eng. Methodol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\nguye\Zotero\storage\XV3QVC22\Wang et al. - 2026 - A Comprehensive Study on Large Language Models for Mutation Testing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RRQU8V3","journalArticle","2024","Stifter, Florian","Automated Unit Test Generation and Improvement with Large Language Models (LLMs)/submitted by Florian Stifter","","","","","https://epub.jku.at/obvulihs/content/titleinfo/11324135","","2024","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:09","","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JF9HQ95","thesis","2024","Creasta, Stefan","Enhancing Unit Tests using ChatGPT-3.5","","","","","https://repository.tudelft.nl/file/File_34529e7c-0262-464a-9d32-96c3a2a17e7c","","2024","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:11","","","","","","","","","","","","Delft University of Technology","","","","PhD Thesis","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4V37HTPX","journalArticle","","Gärtner, Moritz","Towards Automated Software Testing-Applying TextGrad to Test Suite Generation using LLMs","","","","","https://www.sosy-lab.org/research/msc/2025.Gaertner.Towards_Automated_Software_Testing.pdf","","","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:13","","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6PXCLAP","preprint","2026","Chang, Pengyu; Fang, Yixiong; Chen, Silin; Shi, Yuling; Shen, Beijun; Gu, Xiaodong","Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation","","","","10.48550/arXiv.2602.08146","http://arxiv.org/abs/2602.08146","Software testing is a critical, yet resource-intensive phase of the software development lifecycle. Over the years, various automated tools have been developed to aid in this process. Search-based approaches typically achieve high coverage but produce tests with low readability, whereas large language model (LLM)-based methods generate more human-readable tests but often suffer from low coverage and compilability. While the majority of research efforts have focused on improving test coverage and readability, little attention has been paid to enhancing the robustness of bug detection, particularly in exposing corner cases and vulnerable execution paths. To address this gap, we propose AdverTest, a novel adversarial framework for LLM-powered test case generation. AdverTest comprises two interacting agents: a test case generation agent (T) and a mutant generation agent (M). These agents engage in an adversarial loop, where M persistently creates new mutants ""hacking"" the blind spots of T's current test suite, while T iteratively refines its test cases to ""kill"" the challenging mutants produced by M. This interaction loop is guided by both coverage and mutation scores, enabling the system to co-evolve toward both high test coverage and bug detection capability. Experimental results in the Defects4J dataset show that our approach improves fault detection rates by 8.56% over the best existing LLM-based methods and by 63.30% over EvoSuite, while also improving line and branch coverage.","2026-02-10","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:15","","","","","","","Test vs Mutant","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2602.08146 [cs.SE]","","","","","Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2602.08146","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"827DUSEM","journalArticle","2024","Drouzas, Vasileios Ilias","Code Generation in Repository Level through LLMs","","","","","https://www.pyxida.aueb.gr/files/270ae041-23a3-41d4-85a6-db4bac06a5c3/download/Drouzas_2024.pdf","","2024","2026-06-08 06:46:23","2026-06-08 06:46:23","2026-06-08 06:46:15","","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
