id,title,authors,year,venue,v1_decision,v1_reason,v2_decision,v2_reason
FQBT555V,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Wang, Zejun; Liu, Kaibo; Li, Ge; Jin, Zhi",2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM tr?c ti?p)"
98FLBH8L,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Tang, Yutian; Liu, Zhijie; Zhou, Zhichao; Luo, Xiapu",2024,IEEE Transactions on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage + mutation score), IC-T(ChatGPT tr?c ti?p)"
9YUJ7MHW,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Ouedraogo, Wendkuuni C.; Kabore, Kader; Tian, Haoye; Song, Yewei; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyande, Tegawende F.",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM tr?c ti?p)"
HAD449NT,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Diop, Aminata; Toure, Fadel; Badri, Mourad",2025,Proceedings of the 2025 7th World Symposium on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM tr?c ti?p)"
5TCA3W6Y,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026,ACM Transactions on Software Engineering and Methodology,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM tr?c ti?p)"
85WK68WK,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,"Ryan, Gabriel; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna; Ray, Baishakhi",2024,Proceedings of the ACM on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM tr?c ti?p)"
PARBAQEA,Exploring ChatGPT Efficiency in Automatic Test Generation for Python: A Comparative Analysis,"Guerino, Lucca Renato; Vincenzi, Auri Marcelo Rizzo",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Python), IC-M(code coverage), IC-T(ChatGPT tr?c ti?p)"
GZG9PUX3,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,"Cabral, Pedro Fernando Marinho; Arruda, João Pedro Souza; Souza, Cleidson Ronald Botelho De; Pinto, Victor Hugo Santiago Costa",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java/Python), IC-M(mutation score), IC-T(ChatGPT/DeepSeek tr?c ti?p)"
